# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gpt-5-mini
#   API Key: OPENAI_API_KEY
#   Batch Size: 70
#   Number of Examples: 192
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB
#   Input MathML Dir: test_data/MathML
#
# 140 items. Usage info: prompt=88023, candidates=27762, total=115785, time=383901ms, TPS=13828.290468986384.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></math>
✓ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠐⠤⠟⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>r</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>-</mo><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></math>
✗ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math><mi>r</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn></math>
✓ | ⠅⠐⠣⠼⠚⠐⠜⠲ | <math> <mrow> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>k</mi><mo>(</mo><mn>0</mn><mo>)</mo><mo>.</mo></math>
✓ | ⠎⠐⠣⠼⠁⠐⠜ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math> | <math><mi>s</mi><mo>(</mo><mn>1</mn><mo>)</mo></math>
✓ | ⠎⠐⠣⠭⠐⠜ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mi>s</mi><mo>(</mo><mi>x</mi><mo>)</mo></math>
✗ | ⠼⠉⠭⠐⠤⠼⠙⠽⠀⠐⠶⠀⠼⠛⠦ | <math> <mrow> <mrow> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>y</mi> </mrow> </mrow> <mo>=</mo> <mn>7</mn> </mrow> <mo>?</mo> </mrow> </math> | <math><mn>3</mn><mi>x</mi><mo>-</mo><mn>4</mn><mi>y</mi><mo>=</mo><mn>7</mn></math>
✗ | ⠰⠭⠀⠐⠶⠀⠐⠤⠼⠃⠦ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </mrow> <mo>?</mo> </mrow> </math> | <math><mi>x</mi><mo>=</mo><mo>-</mo><mn>2</mn></math>
✓ | ⠟⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠉⠭⠔⠼⠃⠐⠖⠼⠑⠭⠐⠤⠼⠛ | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>3</mn> </mrow> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>7</mn> </mrow> </mrow> </math> | <math><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mo>-</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>-</mo><mn>7</mn></math>
✓ | ⠎⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠑⠭ | <math> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </math> | <math><mi>s</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>5</mn><mi>x</mi></math>
✗ | ⠰⠍⠀⠐⠶⠀⠼⠑⠂⠀ | <math> <mrow> <mrow> <mi>m</mi> <mo>=</mo> <mn>5</mn> </mrow> <mo>,</mo> </mrow> </math> | <math><mi>M</mi><mo>=</mo><mn>5</mn></math>
✗ | ⠰⠉⠂⠀ | <math> <mrow> <mi>c</mi> <mo>,</mo> </mrow> </math> | <math><mi>C</mi><mo>,</mo></math>
✗ | ⠰⠺ | <math> <mi>w</mi> </math> | <math><mi>W</mi></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠭⠔⠼⠃⠐⠖⠼⠙ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn></math>
✓ | ⠋⠐⠖⠛ | <math> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> </math> | <math><mi>f</mi><mo>+</mo><mi>g</mi></math>
✓ | ⠋⠐⠤⠛ | <math> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> </math> | <math><mi>f</mi><mo>-</mo><mi>g</mi></math>
✓ | ⠋⠐⠲⠛ | <math> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> </math> | <math><mi>f</mi><mo>&#x22C5;</mo><mi>g</mi></math>
✓ | ⠰⠰⠷⠋⠨⠌⠛⠾ | <math> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> </math> | <math><mfrac><mi>f</mi><mi>g</mi></mfrac></math>
✗ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠈⠱⠀⠼⠚⠲ | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>≠</mo> <mn>0</mn> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>≠</mo><mn>0</mn></math>
✓ | ⠐⠣⠼⠉⠂⠀⠐⠤⠼⠚⠲⠑⠐⠜ | <math> <mrow> <mo>(</mo> <mrow> <mn>3</mn> <mo>,</mo> <mrow> <mo>-</mo> <mn>0.5</mn> </mrow> </mrow> <mo>)</mo> </mrow> </math> | <math><mo>(</mo><mn>3</mn><mo>,</mo><mo>-</mo><mn>0.5</mn><mo>)</mo></math>
✓ | ⠐⠣⠐⠤⠼⠁⠂⠀⠼⠉⠐⠜ | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>,</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> </math> | <math><mo>(</mo><mo>-</mo><mn>1</mn><mo>,</mo><mn>3</mn><mo>)</mo></math>
✓ | ⠐⠣⠋⠐⠖⠛⠐⠜⠐⠣⠼⠚⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mo>(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo>)</mo><mo>(</mo><mn>0</mn><mo>)</mo><mo>.</mo></math>
✓ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠐⠤⠼⠁⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mo>(</mo><mi>f</mi><mo>&#x22C5;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mo>-</mo><mn>1</mn><mo>)</mo><mo>.</mo></math>
✗ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math><mo>(</mo><mi>f</mi><mo>&#x22C5;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn></math>
✓ | ⠠⠏⠐⠣⠞⠐⠜ | <math> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mi>P</mi><mo>(</mo><mi>t</mi><mo>)</mo></math>
✗ | ⠠⠠⠁⠧⠰⠢⠨⠣⠼⠑⠂⠀⠼⠁⠁⠨⠜⠂⠀ | <math> <mrow> <mrow> <mi>A</mi> <mo>⁢</mo> <msub> <mi>V</mi> <mrow> <mo>[</mo> <mrow> <mn>5</mn> <mo>,</mo> <mn>11</mn> </mrow> <mo>]</mo> </mrow> </msub> </mrow> <mo>,</mo> </mrow> </math> | <math><mi>Av</mi><mo>[</mo><mn>5</mn><mo>,</mo><mn>11</mn><mo>]</mo></math>
✗ | ⠼⠁⠁⠲ | <math> <mrow> <mn>11</mn> <mo>.</mo> </mrow> </math> | <math><mn>11.</mn></math>
✗ | ⠰⠞⠂⠀ | <math> <mrow> <mi>t</mi> <mo>,</mo> </mrow> </math> | <math><mi>T</mi><mo>,</mo></math>
✓ | ⠠⠎⠐⠣⠞⠐⠜ | <math> <mrow> <mi>S</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mi>S</mi><mo>(</mo><mi>t</mi><mo>)</mo></math>
✓ | ⠠⠧⠐⠣⠞⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>V</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math><mi>V</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>,</mo></math>
✗ | ⠠⠧⠐⠣⠞⠐⠜⠀⠐⠶⠀⠠⠝⠐⠣⠞⠐⠜⠐⠲⠠⠎⠐⠣⠞⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>V</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>N</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>⋅</mo> <mrow> <mi>S</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>V</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>N</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>.</mo><mi>S</mi><mo>(</mo><mi>t</mi><mo>)</mo></math>
✓ | ⠋⠐⠣⠧⠐⠜ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>v</mi><mo>)</mo></math>
✗ | ⠋⠐⠣⠼⠋⠚⠐⠜⠀⠐⠶⠀⠼⠚⠲⠚⠙ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0.04</mn> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mn>60</mn><mo>)</mo><mo>=</mo><mn>0.79</mn></math>
✗ | ⠛⠐⠣⠼⠋⠚⠐⠜⠦ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>?</mo> </mrow> </math> | <math><mi>g</mi><mo>(</mo><mn>60</mn><mo>)</mo></math>
✓ | ⠓⠐⠣⠧⠐⠜⠀⠐⠶⠀⠧⠐⠲⠋⠐⠣⠧⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>v</mi> <mo>⋅</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>h</mi><mo>(</mo><mi>v</mi><mo>)</mo><mo>=</mo><mi>v</mi><mo>&#x22C5;</mo><mi>f</mi><mo>(</mo><mi>v</mi><mo>)</mo><mo>.</mo></math>
✗ | ⠓⠰⠦ | <math> <mrow> <mi>h</mi> <mo>?</mo> </mrow> </math> | <math><mi>h</mi><mo>′</mo></math>
✓ | ⠋⠐⠣⠼⠋⠚⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mn>60</mn><mo>)</mo><mo>,</mo></math>
✓ | ⠓⠐⠣⠼⠋⠚⠐⠜ | <math> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> </math> | <math><mi>h</mi><mo>(</mo><mn>60</mn><mo>)</mo></math>
✗ | ⠨⠣⠼⠋⠚⠂⠀⠼⠛⠚⠨⠜⠲ | <math> <mrow> <mrow> <mo>[</mo> <mrow> <mn>60</mn> <mo>,</mo> <mn>70</mn> </mrow> <mo>]</mo> </mrow> <mo>.</mo> </mrow> </math> | <math><mfenced open='[' close=']'><mrow><mn>60</mn><mo>,</mo><mn>70</mn></mrow></mfenced></math>
✗ | ⠠⠁⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠳⠭⠸⠳⠲ | <math> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>A</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mover><mi>x</mi><mo>&#xA8;</mo></mover></math>
✗ | ⠸⠳⠭⠸⠳⠀⠐⠶⠀⠰⠭⠂⠀ | <math> <mrow> <mrow> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> <mo>=</mo> <mi>x</mi> </mrow> <mo>,</mo> </mrow> </math> | <math><mover><mi>x</mi><mo>&#xA8;</mo></mover><mo>=</mo><mi>x</mi><mo>′</mo></math>
✗ | ⠸⠳⠭⠸⠳⠀⠐⠶⠀⠐⠤⠭⠲ | <math> <mrow> <mrow> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mi>x</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mover><mi>x</mi><mo>&#xA8;</mo></mover><mo>=</mo><mo>-</mo><mi>x</mi></math>
✗ | ⠰⠰⠰⠠⠁⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠣⠠⠐⠤⠭⠂⠀⠭⠀⠈⠣⠀⠼⠚⠠⠠⠭⠂⠀⠭⠀⠸⠈⠜⠀⠼⠚⠠⠈⠣⠍⠕⠀⠙⠁⠞⠁⠐⠤⠍⠚⠭⠐⠤⠞⠑⠭⠉⠇⠁⠎⠎⠐⠶⠠⠶⠠⠠⠉⠇⠕⠎⠑⠠⠶⠀⠋⠑⠝⠉⠑⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠞⠗⠑⠞⠉⠓⠽⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠸⠌⠈⠜⠰⠄ | <math> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>{</mo> <mrow> <mtable> <mtr> <mtd> <mrow> <mrow> <mo>-</mo> <mi>x</mi> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mi>x</mi> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>≥</mo> <mn>0</mn> </mrow> </mtd> </mtr> </mtable> <mo fence="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo> </mrow> </mrow> </mrow> </math> | <math><mtext>...</mtext></math>
✓ | ⠰⠽⠀⠐⠶⠀⠐⠤⠭ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mo>-</mo> <mi>x</mi> </mrow> </mrow> </math> | <math><mi>y</mi><mo>=</mo><mo>-</mo><mi>x</mi></math>
