# Configuration:
#   Braille Code: nemeth
#   Generate Braille: False
#   Model: gpt-5.2
#   API Key: OPENAI_API_KEY
#   Batch Size: 70
#   Number of Examples: 312
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#
# 200 items. Usage info: prompt=107334, candidates=10127, total=117461, time=231326ms, TPS=22842.500246864816.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><mi>b</mi><msup><mi>t</mi><mn>2</mn></msup></mrow></math>
✓ | ⠰⠟⠠ | <math> <mrow> <mi>q</mi> <mo>,</mo> </mrow> </math> | <math><mi>q</mi><mo>,</mo></math>
✓ | ⠰⠏⠸⠲ | <math> <mrow> <mi>p</mi> <mo>.</mo> </mrow> </math> | <math><mi>p</mi><mo>.</mo></math>
✓ | ⠋⠷⠭⠾ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✓ | ⠰⠛⠸⠲ | <math> <mrow> <mi>g</mi> <mo>.</mo> </mrow> </math> | <math><mrow><mi>g</mi><mo>.</mo></mrow></math>
✓ | ⠓⠷⠭⠾⠀⠨⠅⠀⠋⠷⠭⠾⠬⠛⠷⠭⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mi>h</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>+</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠗⠷⠭⠾⠀⠨⠅⠀⠏⠷⠭⠾⠤⠟⠷⠭⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mi>r</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>-</mo><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠗⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math><mrow><mi>r</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn><mo>?</mo></mrow></math>
✓ | ⠅⠷⠴⠾⠸⠲ | <math> <mrow> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mi>k</mi><mo>(</mo><mn>0</mn><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠎⠷⠂⠾ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math> | <math><mrow><mi>s</mi><mo>(</mo><mn>1</mn><mo>)</mo></mrow></math>
✓ | ⠎⠷⠭⠾ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mrow><mi>s</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✓ | ⠼⠒⠭⠤⠲⠽⠀⠨⠅⠀⠼⠶⠀⠿ | <math> <mrow> <mrow> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>y</mi> </mrow> </mrow> <mo>=</mo> <mn>7</mn> </mrow> <mo>?</mo> </mrow> </math> | <math><mrow><mn>3</mn><mi>x</mi><mo>-</mo><mn>4</mn><mi>y</mi><mo>=</mo><mn>7</mn><mo>?</mo></mrow></math>
✓ | ⠭⠀⠨⠅⠀⠤⠼⠆⠀⠿ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </mrow> <mo>?</mo> </mrow> </math> | <math><mrow><mi>x</mi><mo>=</mo><mo>-</mo><mn>2</mn><mo>?</mo></mrow></math>
✓ | ⠟⠷⠭⠾⠀⠨⠅⠀⠤⠼⠒⠭⠘⠆⠐⠬⠢⠭⠤⠶ | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>3</mn> </mrow> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>7</mn> </mrow> </mrow> </math> | <math><mrow><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mo>-</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>-</mo><mn>7</mn></mrow></math>
✓ | ⠎⠷⠭⠾⠀⠨⠅⠀⠼⠢⠭ | <math> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </math> | <math><mrow><mi>s</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>5</mn><mi>x</mi></mrow></math>
✓ | ⠍⠀⠨⠅⠀⠼⠢⠠ | <math> <mrow> <mrow> <mi>m</mi> <mo>=</mo> <mn>5</mn> </mrow> <mo>,</mo> </mrow> </math> | <math><mrow><mi>m</mi><mo>=</mo><mn>5</mn><mo>,</mo></mrow></math>
✓ | ⠰⠉⠠ | <math> <mrow> <mi>c</mi> <mo>,</mo> </mrow> </math> | <math><mi>c</mi><mo>,</mo></math>
✓ | ⠰⠺ | <math> <mi>w</mi> </math> | <math><mi>w</mi></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠒⠭⠘⠆⠐⠬⠲ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> </math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn></mrow></math>
✓ | ⠋⠬⠛ | <math> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> </math> | <math><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow></math>
✓ | ⠋⠤⠛ | <math> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> </math> | <math><mrow><mi>f</mi><mo>-</mo><mi>g</mi></mrow></math>
✗ | ⠋⠡⠛ | <math> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> </math> | <math><mrow><mi>f</mi><mo>·</mo><mi>g</mi></mrow></math>
✓ | ⠹⠋⠌⠛⠼ | <math> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> </math> | <math><mfrac><mi>f</mi><mi>g</mi></mfrac></math>
✗ | ⠛⠷⠭⠾⠀⠌⠨⠅⠀⠼⠴⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>≠</mo> <mn>0</mn> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mi>g</mi><mo>≠</mo><mn>0</mn><mo>.</mo></mrow></math>
✗ | ⠷⠒⠠⠀⠤⠴⠨⠢⠾ | <math> <mrow> <mo>(</mo> <mrow> <mn>3</mn> <mo>,</mo> <mrow> <mo>-</mo> <mn>0.5</mn> </mrow> </mrow> <mo>)</mo> </mrow> </math> | <math><mfenced><mrow><mn>3</mn><mo>,</mo><mo>-</mo><mn>5</mn></mrow></mfenced></math>
✓ | ⠷⠤⠂⠠⠀⠒⠾ | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>,</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> </math> | <math><mfenced><mrow><mo>-</mo><mn>1</mn><mo>,</mo><mn>3</mn></mrow></mfenced></math>
✓ | ⠷⠋⠬⠛⠾⠷⠴⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mfenced><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow></mfenced><mfenced><mn>0</mn></mfenced><mo>.</mo></mrow></math>
✗ | ⠷⠋⠡⠛⠾⠷⠤⠂⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mfenced><mrow><mi>f</mi><mo>·</mo><mi>g</mi></mrow></mfenced><mfenced><mrow><mo>-</mo><mn>1</mn></mrow></mfenced><mo>.</mo></mrow></math>
✗ | ⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math><mrow><mfenced><mrow><mi>f</mi><mo>·</mo><mi>g</mi></mrow></mfenced><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn><mo>?</mo></mrow></math>
✓ | ⠠⠏⠷⠞⠾ | <math> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mrow><mi>P</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></math>
✗ | ⠠⠁⠠⠧⠰⠈⠷⠢⠪⠂⠂⠈⠾⠠ | <math> <mrow> <mrow> <mi>A</mi> <mo>⁢</mo> <msub> <mi>V</mi> <mrow> <mo>[</mo> <mrow> <mn>5</mn> <mo>,</mo> <mn>11</mn> </mrow> <mo>]</mo> </mrow> </msub> </mrow> <mo>,</mo> </mrow> </math> | <math><mrow><mi>A</mi><mi>V</mi><mo>[</mo><mn>5</mn><mo>,</mo><mn>11</mn><mo>]</mo><mo>,</mo></mrow></math>
✓ | ⠼⠂⠂⠸⠲ | <math> <mrow> <mn>11</mn> <mo>.</mo> </mrow> </math> | <math><mn>11</mn><mo>.</mo></math>
✓ | ⠰⠞⠠ | <math> <mrow> <mi>t</mi> <mo>,</mo> </mrow> </math> | <math><mi>t</mi><mo>,</mo></math>
✓ | ⠠⠎⠷⠞⠾ | <math> <mrow> <mi>S</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mrow><mi>S</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></math>
✓ | ⠠⠧⠷⠞⠾⠠ | <math> <mrow> <mrow> <mi>V</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math><mrow><mi>V</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>,</mo></mrow></math>
✗ | ⠠⠧⠷⠞⠾⠀⠨⠅⠀⠠⠝⠷⠞⠾⠡⠠⠎⠷⠞⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>V</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>N</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>⋅</mo> <mrow> <mi>S</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mi>V</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>N</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>·</mo><mi>S</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠋⠷⠧⠾ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mrow><mi>f</mi><mo>(</mo><mi>v</mi><mo>)</mo></mrow></math>
✗ | ⠋⠷⠖⠴⠾⠀⠨⠅⠀⠼⠴⠨⠴⠲ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0.04</mn> </mrow> </math> | <math><mrow><mi>f</mi><mo>(</mo><mn>60</mn><mo>)</mo><mo>=</mo><mn>0</mn><mo>.</mo><mn>4</mn></mrow></math>
✓ | ⠛⠷⠖⠴⠾⠀⠿ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>?</mo> </mrow> </math> | <math><mrow><mi>g</mi><mo>(</mo><mn>60</mn><mo>)</mo><mo>?</mo></mrow></math>
✗ | ⠓⠷⠧⠾⠀⠨⠅⠀⠧⠡⠋⠷⠧⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>v</mi> <mo>⋅</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mi>h</mi><mo>(</mo><mi>v</mi><mo>)</mo><mo>=</mo><mi>v</mi><mo>·</mo><mi>f</mi><mo>(</mo><mi>v</mi><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠰⠓⠀⠿ | <math> <mrow> <mi>h</mi> <mo>?</mo> </mrow> </math> | <math><mrow><mi>h</mi><mo>?</mo></mrow></math>
✓ | ⠋⠷⠖⠴⠾⠠ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math><mrow><mi>f</mi><mo>(</mo><mn>60</mn><mo>)</mo><mo>,</mo></mrow></math>
✓ | ⠓⠷⠖⠴⠾ | <math> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> </math> | <math><mrow><mi>h</mi><mo>(</mo><mn>60</mn><mo>)</mo></mrow></math>
✓ | ⠈⠷⠖⠴⠠⠀⠶⠴⠈⠾⠸⠲ | <math> <mrow> <mrow> <mo>[</mo> <mrow> <mn>60</mn> <mo>,</mo> <mn>70</mn> </mrow> <mo>]</mo> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mo>[</mo><mn>60</mn><mo>,</mo><mn>70</mn><mo>]</mo><mo>.</mo></mrow></math>
✓ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠳⠭⠳⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mi>A</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mrow><mo>|</mo><mi>x</mi><mo>|</mo></mrow><mo>.</mo></mrow></math>
✓ | ⠳⠭⠳⠀⠨⠅⠀⠭⠠ | <math> <mrow> <mrow> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> <mo>=</mo> <mi>x</mi> </mrow> <mo>,</mo> </mrow> </math> | <math><mrow><mo>|</mo><mi>x</mi><mo>|</mo><mo>=</mo><mi>x</mi><mo>,</mo></mrow></math>
✓ | ⠳⠭⠳⠀⠨⠅⠀⠤⠭⠸⠲ | <math> <mrow> <mrow> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mi>x</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mo>|</mo><mi>x</mi><mo>|</mo><mo>=</mo><mo>-</mo><mi>x</mi><mo>.</mo></mrow></math>
✗ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠭⠠⠀⠭⠀⠐⠅⠀⠼⠴⠀⣍⠭⠠⠀⠭⠀⠨⠂⠱⠀⠼⠴⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>{</mo> <mrow> <mtable> <mtr> <mtd> <mrow> <mrow> <mo>-</mo> <mi>x</mi> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mi>x</mi> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>≥</mo> <mn>0</mn> </mrow> </mtd> </mtr> </mtable> <mo fence="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo> </mrow> </mrow> </mrow> </math> | <math><mrow><mi>A</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mo>{</mo><mrow><mo>-</mo><mi>x</mi></mrow><mtext>&#x00A0;</mtext><mi>x</mi><mo>&lt;</mo><mn>0</mn><mo>,</mo><mspace width="0.5em"/><mi>x</mi><mo>≥</mo><mn>0</mn><mtext>&#x00A0;</mtext><mtext>mo data-mjx-texclass="close" fence="true" stretchy="true" symmetric="true"/&gt;</mtext></mrow></math>
✓ | ⠽⠀⠨⠅⠀⠤⠭ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mo>-</mo> <mi>x</mi> </mrow> </mrow> </math> | <math><mrow><mi>y</mi><mo>=</mo><mo>-</mo><mi>x</mi></mrow></math>
