# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gpt-5.2
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in Nemeth braille for mathematics and chemistry notation. The user will number the input and follow it with {braille_code} braille to be translated into MathML. Your task is to translate each sequence of Nemeth braille characters into valid MathML code. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Do not include any braille unicode characters in the MathML output. Add '|next-item|' between each MathML output. 
#
# 200 items. Usage info: prompt=10471, candidates=12065, total=22536, time=368354ms, TPS=30530.791545793618.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><mi>b</mi><msup><mi>t</mi><mo></mo></msup></mrow></math>
✗ | ⠳⠭⠳⠀⠨⠅⠀⠭⠠ | <math><mrow><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mo>=</mo><mi>x</mi><mtext>,</mtext></mrow></math> | <math><mrow><mi>x</mi><mi>x</mi><mo>×</mo><mi>x</mi></mrow></math>
✗ | ⠳⠭⠳⠀⠨⠅⠀⠤⠭⠸⠲ | <math><mrow><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mo>=</mo><mo>−</mo><mi>x</mi><mtext>.</mtext></mrow></math> | <math><mrow><mi>x</mi><mi>x</mi><mo>×</mo><mo>−</mo><mi>x</mi><mo>=</mo></mrow></math>
✗ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠭⠠⠀⠭⠀⠐⠅⠀⠼⠴⠀⣍⠭⠠⠀⠭⠀⠨⠂⠱⠀⠼⠴⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mo>−</mo><mi>x</mi><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn></mrow></mtd></mtr><mtr><mtd><mrow><mi>x</mi><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mn>0</mn></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <math><mrow><mi>A</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>×</mo><mrow><mo>(</mo><mo>−</mo><mi>x</mi><mo>,</mo><mi>x</mi><mo>)</mo></mrow><mo>,</mo><mi>x</mi><mo>×</mo><mn>4</mn><mo>,</mo><mi>x</mi><mo>:</mo><mn>4</mn><mo>=</mo></mrow></math>
✗ | ⠽⠀⠨⠅⠀⠤⠭ | <math><mrow><mi>y</mi><mo>=</mo><mo>−</mo><mi>x</mi></mrow></math> | <math><mrow><mi>y</mi><mo>×</mo><mo>−</mo><mi>x</mi></mrow></math>
✗ | ⠏⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠷⠭⠬⠆⠾⠘⠆⠐⠬⠆⠠⠀⠭⠀⠐⠅⠀⠼⠴⠀⣍⠹⠂⠌⠆⠼⠷⠭⠤⠆⠾⠘⠆⠐⠬⠂⠠⠀⠭⠀⠨⠂⠱⠀⠼⠴⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mo>−</mo><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>2</mn><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn></mrow></mtd></mtr><mtr><mtd><mrow><mfrac><mn>1</mn><mn>2</mn></mfrac><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>1</mn><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mn>0</mn></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <math><mrow><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>×</mo><mrow><mo>(</mo><mo>−</mo><mrow><mo>(</mo><mi>x</mi><mo>±</mo><mn>6</mn><mo>)</mo></mrow><mo>,</mo><mi>x</mi><mo>×</mo><mn>4</mn><mo>,</mo><mi>x</mi><mo>:</mo><mn>4</mn><mo>=</mo></mrow></mrow></math>
✗ | ⠏⠷⠤⠆⠾⠠ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mo>(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>)</mo></mrow></math>
✗ | ⠏⠷⠆⠾⠠ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mo>(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>)</mo></mrow></math>
✗ | ⠭⠀⠐⠅⠀⠼⠴⠀⠿ | <math><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><mn>4</mn></mrow></math>
✗ | ⠏⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mrow><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>4</mn></mrow></math>
✗ | ⠰⠏⠀⠿ | <math><mrow><mi>p</mi><mtext>?</mtext></mrow></math> | <math><mrow><mi>P</mi></mrow></math>
✗ | ⠽⠀⠨⠅⠀⠏⠷⠭⠾⠸⠲ | <math><mrow><mi>y</mi><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>y</mi><mo>=</mo><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>.</mo></mrow></math>
