# Configuration:
#   Braille Code: nemeth
#   Generate Braille: False
#   Model: gemini-3-pro-preview 
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 40
#   Number of Examples: 2472
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 120 items. Usage info: prompt=872080, candidates=7531, total=893642, time=41733ms, TPS=5541.495153366087.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠹⠂⠌⠭⠤⠆⠼⠨⠌⠹⠆⠌⠭⠼ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></mstyle><mo>÷</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle></math> | <math><mrow><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac><mo>÷</mo><mfrac><mn>2</mn><mi>x</mi></mfrac></mrow></math>
✓ | ⠼⠖⠡⠹⠂⠌⠒⠼⠀⠨⠅⠀⠹⠖⠌⠂⠼⠡⠹⠂⠌⠒⠼⠀⠨⠅⠀⠹⠖⠌⠒⠼⠀⠨⠅⠀⠼⠆ | <math><mrow><mn>6</mn><mo>⋅</mo><mfrac><mn>1</mn><mn>3</mn></mfrac><mo>=</mo><mfrac><mn>6</mn><mn>1</mn></mfrac><mo>⋅</mo><mfrac><mn>1</mn><mn>3</mn></mfrac><mo>=</mo><mfrac><mn>6</mn><mn>3</mn></mfrac><mo>=</mo><mn>2</mn></mrow></math> | <math><mrow><mn>6</mn><mo>⋅</mo><mfrac><mn>1</mn><mn>3</mn></mfrac><mo>=</mo><mfrac><mn>6</mn><mn>1</mn></mfrac><mo>⋅</mo><mfrac><mn>1</mn><mn>3</mn></mfrac><mo>=</mo><mfrac><mn>6</mn><mn>3</mn></mfrac><mo>=</mo><mn>2</mn></mrow></math>
✓ | ⠼⠶⠤⠲⠀⠨⠅⠀⠼⠒ | <math><mrow><mn>7</mn><mo>−</mo><mn>4</mn><mo>=</mo><mn>3</mn></mrow></math> | <math><mrow><mn>7</mn><mo>−</mo><mn>4</mn><mo>=</mo><mn>3</mn></mrow></math>
✓ | ⠛⠷⠭⠾⠀⠨⠅⠀⠼⠒⠠ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mo>,</mo></mrow></math> | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mtext>,</mtext></mrow></math>
✗ | ⠹⠆⠢⠴⠌⠂⠴⠠⠀⠼⠴⠴⠴⠼ | <math><mfrac><mtext>250</mtext><mtext>10,000</mtext></mfrac></math> | <math><mfrac><mn>250</mn><mtext>10,000</mtext></mfrac></math>
✓ | ⠨⠎⠰⠨⠯⠰⠘⠆⠀⠨⠅⠀⠜⠆⠷⠙⠋⠾⠻ | <math><mrow><msub><mi>σ</mi><msup><mi>χ</mi><mn>2</mn></msup></msub><mtext>=</mtext><msqrt><mrow><mn>2</mn><mrow><mo>(</mo><mrow><mi>d</mi><mi>f</mi></mrow><mo>)</mo></mrow></mrow></msqrt></mrow></math> | <math><mrow><msub><mi>σ</mi><msup><mi>χ</mi><mn>2</mn></msup></msub><mo>=</mo><msqrt><mrow><mn>2</mn><mo stretchy="false">(</mo><mi>d</mi><mi>f</mi><mo stretchy="false">)</mo></mrow></msqrt></mrow></math>
✓ | ⠹⠁⠬⠃⠌⠆⠼ | <math><mfrac><mrow><mi>a</mi><mo>+</mo><mi>b</mi></mrow><mn>2</mn></mfrac></math> | <math><mfrac><mrow><mi>a</mi><mo>+</mo><mi>b</mi></mrow><mn>2</mn></mfrac></math>
✓ | ⠣⠲⠜⠏⠻ | <math><mroot><mi>p</mi><mn>4</mn></mroot></math> | <math><mroot><mi>p</mi><mn>4</mn></mroot></math>
✓ | ⠼⠒⠖ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>36</mn></math> | <math><mn>36</mn></math>
✓ | ⠟⠀⠨⠅⠀⠼⠂⠤⠏⠸⠲ | <math><mrow><mi>q</mi><mo>=</mo><mn>1</mn><mo>-</mo><mi>p</mi><mo>.</mo></mrow></math> | <math><mrow><mi>q</mi><mo>=</mo><mn>1</mn><mo>−</mo><mi>p</mi><mtext>.</mtext></mrow></math>
✓ | ⠞⠁⠝⠀⠷⠨⠹⠾ | <math><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>tan</mi><mo>⁡</mo><mrow><mo>(</mo><mi>θ</mi><mo>)</mo></mrow></mrow></math>
✓ | ⠷⠁⠬⠃⠾⠷⠁⠤⠃⠾⠀⠨⠅⠀⠁⠘⠆⠐⠤⠁⠃⠬⠁⠃⠤⠃⠘⠆ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mi>a</mi><mo>+</mo><mi>b</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>a</mi><mo>−</mo><mi>b</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><mi>a</mi><mi>b</mi><mo>+</mo><mi>a</mi><mi>b</mi><mo>−</mo><msup><mi>b</mi><mn>2</mn></msup></math> | <math><mrow><mrow><mo>(</mo><mrow><mi>a</mi><mo>+</mo><mi>b</mi></mrow><mo>)</mo></mrow><mo>⁢</mo><mrow><mo>(</mo><mrow><mi>a</mi><mo>−</mo><mi>b</mi></mrow><mo>)</mo></mrow><mo>=</mo><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><mi>a</mi><mo>⁢</mo><mi>b</mi><mo>+</mo><mi>a</mi><mo>⁢</mo><mi>b</mi><mo>−</mo><msup><mi>b</mi><mn>2</mn></msup></mrow></math>
✓ | ⠹⠖⠌⠢⠴⠼ | <math><mfrac><mn>6</mn><mn>50</mn></mfrac></math> | <math><mfrac><mn>6</mn><mn>50</mn></mfrac></math>
✓ | ⠃⠀⠨⠅⠀⠹⠨⠠⠎⠷⠭⠤⠭⠱⠾⠷⠽⠤⠽⠱⠾⠌⠨⠠⠎⠷⠭⠤⠭⠱⠾⠘⠆⠐⠼ | <math><mrow><mi>b</mi><mo>=</mo><mfrac><mrow><mi>Σ</mi><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mover accent="true"><mi>x</mi><mo>¯</mo></mover><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>y</mi><mo>−</mo><mover accent="true"><mi>y</mi><mo>¯</mo></mover><mo stretchy="false">)</mo></mrow><mrow><mi>Σ</mi><msup><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mover accent="true"><mi>x</mi><mo>¯</mo></mover><mo stretchy="false">)</mo></mrow><mn>2</mn></msup></mrow></mfrac></mrow></math> | <math><mrow><mi>b</mi><mo>=</mo><mfrac><mrow><mi>Σ</mi><mrow><mo>(</mo><mrow><mi>x</mi><mo>−</mo><mover accent="true"><mi>x</mi><mo>¯</mo></mover></mrow><mo>)</mo></mrow><mo>⁢</mo><mrow><mo>(</mo><mrow><mi>y</mi><mo>−</mo><mover accent="true"><mi>y</mi><mo>¯</mo></mover></mrow><mo>)</mo></mrow></mrow><mrow><mi>Σ</mi><msup><mrow><mo>(</mo><mrow><mi>x</mi><mo>−</mo><mover accent="true"><mi>x</mi><mo>¯</mo></mover></mrow><mo>)</mo></mrow><mn>2</mn></msup></mrow></mfrac></mrow></math>
✓ | ⠛⠷⠭⠾⠀⠨⠅⠀⠉⠎⠉⠀⠷⠭⠾⠤⠉⠕⠞⠀⠷⠭⠾⠉⠕⠎⠀⠷⠭⠾ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mi>cot</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></math> | <math><mrow><mi>g</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mi>csc</mi><mo>⁡</mo><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>−</mo><mi>cot</mi><mo>⁡</mo><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>⁢</mo><mi>cos</mi><mo>⁡</mo><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow></math>
✓ | ⠣⠲⠜⠃⠘⠒⠐⠻ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mroot><msup><mi>b</mi><mn>3</mn></msup><mn>4</mn></mroot></mstyle></math> | <math><mroot><msup><mi>b</mi><mn>3</mn></msup><mn>4</mn></mroot></math>
✗ | ⠨⠎⠀⠨⠅⠀⠜⠢⠨⠢⠻ | <math><mrow><mi>σ</mi><mtext> = </mtext><msqrt><mn>5.5</mn></msqrt></mrow></math> | <math><mrow><mi>σ</mi><mo>=</mo><msqrt><mn>5.5</mn></msqrt></mrow></math>
✓ | ⠼⠆⠘⠒ | <math><msup><mn>2</mn><mn>3</mn></msup></math> | <math><msup><mn>2</mn><mn>3</mn></msup></math>
✓ | ⠷⠏⠘⠂⠴⠐⠾⠘⠹⠂⠌⠢⠼ | <math><msup><mrow><mo>(</mo><msup><mi>p</mi><mn>10</mn></msup><mo>)</mo></mrow><mfrac><mn>1</mn><mn>5</mn></mfrac></msup></math> | <math><msup><mrow><mo>(</mo><msup><mi>p</mi><mn>10</mn></msup><mo>)</mo></mrow><mfrac><mn>1</mn><mn>5</mn></mfrac></msup></math>
✓ | ⠰⠑ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mi>e</mi></math> | <math><mi>e</mi></math>
✓ | ⠁⠘⠹⠂⠌⠝⠼⠀⠨⠅⠀⠣⠝⠜⠁⠻ | <math><mrow><msup><mi>a</mi><mfrac><mn>1</mn><mi>n</mi></mfrac></msup><mo>=</mo><mroot><mi>a</mi><mi>n</mi></mroot></mrow></math> | <math><mrow><msup><mi>a</mi><mfrac><mn>1</mn><mi>n</mi></mfrac></msup><mo>=</mo><mroot><mi>a</mi><mi>n</mi></mroot></mrow></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠭⠬⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn></mrow></math> | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn></mrow></math>
✓ | ⠁⠆ | <math><msub><mi>a</mi><mn>2</mn></msub></math> | <math><msub><mi>a</mi><mn>2</mn></msub></math>
✓ | ⠉⠕⠎⠀⠷⠨⠁⠾⠬⠉⠕⠎⠀⠷⠨⠃⠾ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>+</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>β</mi><mo stretchy="false">)</mo></math> | <math><mrow><mi>cos</mi><mo>⁡</mo><mrow><mo>(</mo><mi>α</mi><mo>)</mo></mrow><mo>+</mo><mi>cos</mi><mo>⁡</mo><mrow><mo>(</mo><mi>β</mi><mo>)</mo></mrow></mrow></math>
✓ | ⠤⠼⠒ | <math><mrow><mo>−</mo><mn>3</mn></mrow></math> | <math><mo>-</mo><mn>3</mn></math>
✓ | ⠼⠒⠖⠸⠌⠆⠂⠖⠀⠨⠅⠀⠼⠴⠨⠂⠖⠶ | <math><mrow><mn>36</mn><mo>/</mo><mn>216</mn><mo>=</mo><mn>0.167</mn></mrow></math> | <math><mrow><mn>36</mn><mo>/</mo><mn>216</mn><mo>=</mo><mn>0.167</mn></mrow></math>
✓ | ⠁⠰⠝⠀⠨⠅⠀⠁⠂⠬⠷⠝⠤⠂⠾⠙⠸⠲ | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><msub><mi>a</mi><mn>1</mn></msub><mo>+</mo><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mi>d</mi><mo>.</mo></mrow></math> | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><msub><mi>a</mi><mn>1</mn></msub><mo>+</mo><mrow><mo>(</mo><mrow><mi>n</mi><mo>−</mo><mn>1</mn></mrow><mo>)</mo></mrow><mo>⁢</mo><mi>d</mi><mtext>.</mtext></mrow></math>
✓ | ⠁⠰⠝ | <math><msub><mi>a</mi><mi>n</mi></msub></math> | <math><msub><mi>a</mi><mi>n</mi></msub></math>
✓ | ⠭⠤⠂⠀⠨⠅⠀⠼⠦⠠ | <math><mrow><mi>x</mi><mo>−</mo><mn>1</mn><mo>=</mo><mn>8</mn><mo>,</mo></mrow></math> | <math><mrow><mi>x</mi><mo>−</mo><mn>1</mn><mo>=</mo><mn>8</mn><mtext>,</mtext></mrow></math>
✓ | ⠼⠒⠘⠲ | <math><msup><mn>3</mn><mn>4</mn></msup></math> | <math><msup><mn>3</mn><mn>4</mn></msup></math>
✓ | ⠼⠒⠨ | <math><mn>3.</mn></math> | <math><mn>3.</mn></math>
✓ | ⠜⠂⠒⠻ | <math><msqrt><mn>13</mn></msqrt></math> | <math><msqrt><mn>13</mn></msqrt></math>
✓ | ⠽⠀⠨⠅⠀⠼⠒⠭⠤⠲ | <math><mrow><mi>y</mi><mo>=</mo><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn></mrow></math> | <math><mrow><mi>y</mi><mo>=</mo><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn></mrow></math>
✓ | ⠽⠆⠀⠨⠅⠀⠷⠭⠤⠆⠾⠑⠘⠤⠷⠭⠤⠆⠾ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msub><mi>y</mi><mn>2</mn></msub><mo>=</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo></mrow></msup></math> | <math><mrow><msub><mi>y</mi><mn>2</mn></msub><mo>=</mo><mrow><mo>(</mo><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow><mo>)</mo></mrow><mo>⁢</mo><msup><mi>e</mi><mrow><mo>−</mo><mrow><mo>(</mo><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow><mo>)</mo></mrow></mrow></msup></mrow></math>
✗ | ⠼⠖⠢⠈⠴ | <math><mtext>65%</mtext></math> | <math><mn>65</mn><mo>%</mo></math>
