# Configuration:
#   Braille Code: ueb
#   Generate Braille: True
#   Model: gemini-3-pro-preview 
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 40
#   Number of Examples: 2352
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 320 items. Usage info: prompt=2471475, candidates=20134, total=2586930, time=98951ms, TPS=4914.622032383034.2f
#
# Match | Test Input | Expected | Computed
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></mstyle><mo>÷</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle></math> | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾ | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext>Price of item</mtext></math> | ⠠⠏⠗⠊⠉⠑⠀⠷⠀⠊⠞⠑⠍ | ⠠⠏⠗⠊⠉⠑⠀⠕⠋⠀⠊⠞⠑⠍
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy="false">)</mo><mtext>.</mtext></math> | ⠐⠣⠰⠭⠂⠀⠰⠽⠐⠜⠲ | ⠐⠣⠰⠭⠂⠀⠰⠽⠐⠜⠲
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>27.5</mn></math> | ⠼⠃⠛⠲⠑ | ⠼⠃⠛⠲⠑
✓ | <math><mrow><mi>Σ</mi><mi>x</mi></mrow></math> | ⠠⠨⠎⠭ | ⠠⠨⠎⠭
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi></mstyle></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭
✓ | <math><mfrac><mn>12</mn><mn>19</mn></mfrac></math> | ⠼⠁⠃⠌⠁⠊ | ⠼⠁⠃⠌⠁⠊
✗ | <math><mrow><mn>3</mn><mo>+</mo><msup><mi>e</mi><mrow><mn>2</mn><mi>t</mi></mrow></msup><mo>=</mo><mn>7</mn><msup><mi>e</mi><mrow><mn>2</mn><mi>t</mi></mrow></msup><mo>.</mo></mrow></math> | ⠼⠉⠐⠖⠑⠔⠣⠼⠃⠞⠜⠀⠐⠶⠀⠼⠛⠰⠑⠔⠣⠼⠃⠞⠜⠲ | ⠼⠉⠐⠖⠰⠑⠔⠣⠼⠃⠞⠜⠀⠐⠶⠀⠼⠛⠰⠑⠔⠣⠼⠃⠞⠜⠲
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>291</mn></math> | ⠼⠃⠊⠁ | ⠼⠃⠊⠁
✓ | <math><msup><mi>x</mi><mn>2</mn></msup></math> | ⠭⠰⠔⠼⠃ | ⠭⠰⠔⠼⠃
✗ | <math><mrow><msub><mi>n</mi><mn>1</mn></msub><mo>+</mo><msub><mi>n</mi><mn>2</mn></msub><mo>−</mo><mn>2</mn></mrow></math> | ⠝⠰⠢⠼⠁⠐⠖⠝⠢⠼⠃⠐⠤⠼⠃ | ⠰⠝⠢⠼⠁⠐⠖⠝⠢⠼⠃⠐⠤⠼⠃
✓ | <math><mrow><mn>6</mn><mo>⋅</mo><mfrac><mn>1</mn><mn>3</mn></mfrac><mo>=</mo><mfrac><mn>6</mn><mn>1</mn></mfrac><mo>⋅</mo><mfrac><mn>1</mn><mn>3</mn></mfrac><mo>=</mo><mfrac><mn>6</mn><mn>3</mn></mfrac><mo>=</mo><mn>2</mn></mrow></math> | ⠼⠋⠐⠲⠼⠁⠌⠉⠀⠐⠶⠀⠼⠋⠌⠁⠐⠲⠼⠁⠌⠉⠀⠐⠶⠀⠼⠋⠌⠉⠀⠐⠶⠀⠼⠃ | ⠼⠋⠐⠲⠼⠁⠌⠉⠀⠐⠶⠀⠼⠋⠌⠁⠐⠲⠼⠁⠌⠉⠀⠐⠶⠀⠼⠋⠌⠉⠀⠐⠶⠀⠼⠃
✓ | <math><mrow><mn>7</mn><mo>−</mo><mn>4</mn><mo>=</mo><mn>3</mn></mrow></math> | ⠼⠛⠐⠤⠼⠙⠀⠐⠶⠀⠼⠉ | ⠼⠛⠐⠤⠼⠙⠀⠐⠶⠀⠼⠉
✗ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mo>,</mo></mrow></math> | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠂⠀ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠂
✗ | <math><mfrac><mtext>250</mtext><mtext>10,000</mtext></mfrac></math> | ⠰⠷⠼⠃⠑⠚⠨⠌⠼⠁⠚⠂⠀⠼⠚⠚⠚⠾ | ⠰⠷⠼⠃⠑⠚⠨⠌⠼⠁⠚⠂⠚⠚⠚⠾
✗ | <math><mrow><msub><mi>σ</mi><msup><mi>χ</mi><mn>2</mn></msup></msub><mtext>=</mtext><msqrt><mrow><mn>2</mn><mrow><mo>(</mo><mrow><mi>d</mi><mi>f</mi></mrow><mo>)</mo></mrow></mrow></msqrt></mrow></math> | ⠰⠰⠰⠨⠎⠢⠣⠨⠯⠔⠼⠃⠜⠀⠐⠶⠀⠩⠼⠃⠐⠣⠙⠋⠐⠜⠬⠰⠄ | ⠰⠰⠨⠎⠢⠣⠨⠯⠔⠼⠃⠜⠀⠐⠶⠀⠩⠼⠃⠐⠣⠙⠋⠐⠜⠬
✗ | <math><mfrac><mrow><mi>a</mi><mo>+</mo><mi>b</mi></mrow><mn>2</mn></mfrac></math> | ⠰⠰⠷⠁⠐⠖⠃⠨⠌⠼⠃⠾ | ⠰⠷⠁⠐⠖⠃⠨⠌⠼⠃⠾
✓ | <math><mroot><mi>p</mi><mn>4</mn></mroot></math> | ⠰⠰⠩⠔⠼⠙⠏⠬ | ⠰⠰⠩⠔⠼⠙⠏⠬
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>36</mn></math> | ⠼⠉⠋ | ⠼⠉⠋
✓ | <math><mrow><mi>q</mi><mo>=</mo><mn>1</mn><mo>-</mo><mi>p</mi><mo>.</mo></mrow></math> | ⠰⠟⠀⠐⠶⠀⠼⠁⠐⠤⠏⠲ | ⠰⠟⠀⠐⠶⠀⠼⠁⠐⠤⠏⠲
✓ | <math><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo></mrow></math> | ⠞⠁⠝⠐⠣⠨⠹⠐⠜ | ⠞⠁⠝⠐⠣⠨⠹⠐⠜
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mi>a</mi><mo>+</mo><mi>b</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>a</mi><mo>−</mo><mi>b</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><mi>a</mi><mi>b</mi><mo>+</mo><mi>a</mi><mi>b</mi><mo>−</mo><msup><mi>b</mi><mn>2</mn></msup></math> | ⠐⠣⠁⠐⠖⠃⠐⠜⠐⠣⠁⠐⠤⠃⠐⠜⠀⠐⠶⠀⠁⠰⠔⠼⠃⠐⠤⠁⠃⠐⠖⠁⠃⠐⠤⠃⠔⠼⠃ | ⠐⠣⠁⠐⠖⠃⠐⠜⠐⠣⠁⠐⠤⠃⠐⠜⠀⠐⠶⠀⠁⠰⠔⠼⠃⠐⠤⠁⠃⠐⠖⠁⠃⠐⠤⠃⠰⠔⠼⠃
✓ | <math><mfrac><mn>6</mn><mn>50</mn></mfrac></math> | ⠼⠋⠌⠑⠚ | ⠼⠋⠌⠑⠚
✗ | <math><mrow><mi>b</mi><mo>=</mo><mfrac><mrow><mi>Σ</mi><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mover accent="true"><mi>x</mi><mo>¯</mo></mover><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>y</mi><mo>−</mo><mover accent="true"><mi>y</mi><mo>¯</mo></mover><mo stretchy="false">)</mo></mrow><mrow><mi>Σ</mi><msup><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mover accent="true"><mi>x</mi><mo>¯</mo></mover><mo stretchy="false">)</mo></mrow><mn>2</mn></msup></mrow></mfrac></mrow></math> | ⠰⠰⠰⠃⠀⠐⠶⠀⠷⠠⠨⠎⠐⠣⠭⠐⠤⠭⠱⠐⠜⠐⠣⠽⠐⠤⠽⠱⠐⠜⠨⠌⠠⠨⠎⠐⠣⠭⠐⠤⠭⠱⠐⠜⠔⠼⠃⠾⠰⠄ | ⠰⠃⠀⠐⠶⠀⠰⠷⠠⠨⠎⠐⠣⠭⠐⠤⠭⠰⠱⠐⠜⠐⠣⠽⠐⠤⠽⠰⠱⠐⠜⠨⠌⠠⠨⠎⠐⠣⠭⠐⠤⠭⠰⠱⠐⠜⠔⠼⠃⠾
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mi>cot</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></math> | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠉⠎⠉⠐⠣⠭⠐⠜⠐⠤⠉⠕⠞⠐⠣⠭⠐⠜⠉⠕⠎⠐⠣⠭⠐⠜ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠉⠎⠉⠐⠣⠭⠐⠜⠐⠤⠉⠕⠞⠐⠣⠭⠐⠜⠉⠕⠎⠐⠣⠭⠐⠜
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mroot><msup><mi>b</mi><mn>3</mn></msup><mn>4</mn></mroot></mstyle></math> | ⠰⠰⠩⠔⠼⠙⠰⠃⠔⠼⠉⠬ | ⠰⠩⠔⠼⠙⠃⠔⠼⠉⠬
✓ | <math><mrow><mi>σ</mi><mtext> = </mtext><msqrt><mn>5.5</mn></msqrt></mrow></math> | ⠨⠎⠀⠐⠶⠀⠰⠩⠼⠑⠲⠑⠬ | ⠨⠎⠀⠐⠶⠀⠰⠩⠼⠑⠲⠑⠬
✓ | <math><msup><mn>2</mn><mn>3</mn></msup></math> | ⠼⠃⠔⠼⠉ | ⠼⠃⠔⠼⠉
✗ | <math><msup><mrow><mo>(</mo><msup><mi>p</mi><mn>10</mn></msup><mo>)</mo></mrow><mfrac><mn>1</mn><mn>5</mn></mfrac></msup></math> | ⠰⠰⠐⠣⠏⠔⠼⠁⠚⠐⠜⠔⠼⠁⠌⠑ | ⠐⠣⠏⠔⠼⠁⠚⠐⠜⠔⠼⠁⠌⠑
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mi>e</mi></math> | ⠀⠰⠑ | ⠀⠰⠑
✗ | <math><mrow><msup><mi>a</mi><mfrac><mn>1</mn><mi>n</mi></mfrac></msup><mo>=</mo><mroot><mi>a</mi><mi>n</mi></mroot></mrow></math> | ⠰⠰⠰⠁⠔⠷⠼⠁⠨⠌⠝⠾⠀⠐⠶⠀⠩⠔⠝⠁⠬⠰⠄ | ⠁⠰⠔⠷⠼⠁⠨⠌⠝⠾⠀⠐⠶⠀⠰⠩⠔⠝⠁⠬
✓ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠙ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠙
✓ | <math><msub><mi>a</mi><mn>2</mn></msub></math> | ⠁⠰⠢⠼⠃ | ⠁⠰⠢⠼⠃
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>+</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>β</mi><mo stretchy="false">)</mo></math> | ⠉⠕⠎⠐⠣⠨⠁⠐⠜⠐⠖⠉⠕⠎⠐⠣⠨⠃⠐⠜ | ⠉⠕⠎⠐⠣⠨⠁⠐⠜⠐⠖⠉⠕⠎⠐⠣⠨⠃⠐⠜
✓ | <math><mrow><mo>−</mo><mn>3</mn></mrow></math> | ⠐⠤⠼⠉ | ⠐⠤⠼⠉
✗ | <math><mrow><mn>36</mn><mo>/</mo><mn>216</mn><mo>=</mo><mn>0.167</mn></mrow></math> | ⠼⠉⠋⠸⠌⠼⠃⠁⠋⠀⠐⠶⠀⠼⠚⠲⠁⠋⠛ | ⠼⠉⠋⠌⠃⠁⠋⠀⠐⠶⠀⠼⠚⠲⠁⠋⠛
✗ | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><msub><mi>a</mi><mn>1</mn></msub><mo>+</mo><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mi>d</mi><mo>.</mo></mrow></math> | ⠰⠰⠰⠁⠢⠝⠀⠐⠶⠀⠁⠢⠼⠁⠐⠖⠐⠣⠝⠐⠤⠼⠁⠐⠜⠙⠲⠰⠄ | ⠁⠰⠢⠝⠀⠐⠶⠀⠁⠢⠼⠁⠐⠖⠐⠣⠝⠐⠤⠼⠁⠐⠜⠙⠲
✓ | <math><msub><mi>a</mi><mi>n</mi></msub></math> | ⠁⠰⠢⠝ | ⠁⠰⠢⠝
✗ | <math><mrow><mi>x</mi><mo>−</mo><mn>1</mn><mo>=</mo><mn>8</mn><mo>,</mo></mrow></math> | ⠭⠐⠤⠼⠁⠀⠐⠶⠀⠼⠓⠂⠀ | ⠭⠐⠤⠼⠁⠀⠐⠶⠀⠼⠓⠂
✓ | <math><msup><mn>3</mn><mn>4</mn></msup></math> | ⠼⠉⠔⠼⠙ | ⠼⠉⠔⠼⠙
✓ | <math><mn>3.</mn></math> | ⠼⠉⠲ | ⠼⠉⠲
✓ | <math><msqrt><mn>13</mn></msqrt></math> | ⠰⠩⠼⠁⠉⠬ | ⠰⠩⠼⠁⠉⠬
✓ | <math><mrow><mi>y</mi><mo>=</mo><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn></mrow></math> | ⠰⠽⠀⠐⠶⠀⠼⠉⠭⠐⠤⠼⠙ | ⠰⠽⠀⠐⠶⠀⠼⠉⠭⠐⠤⠼⠙
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msub><mi>y</mi><mn>2</mn></msub><mo>=</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo></mrow></msup></math> | ⠽⠰⠢⠼⠃⠀⠐⠶⠀⠐⠣⠭⠐⠤⠼⠃⠐⠜⠑⠔⠣⠐⠤⠐⠣⠭⠐⠤⠼⠃⠐⠜⠜ | ⠽⠰⠢⠼⠃⠀⠐⠶⠀⠐⠣⠭⠐⠤⠼⠃⠐⠜⠑⠔⠣⠐⠤⠐⠣⠭⠐⠤⠼⠃⠐⠜⠜
✓ | <math><mtext>65%</mtext></math> | ⠼⠋⠑⠨⠴ | ⠼⠋⠑⠨⠴
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle></mstyle></math> | ⠓⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠃⠨⠌⠭⠾ | ⠓⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠃⠨⠌⠭⠾
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>P</mi><mtext>,</mtext></math> | ⠰⠠⠏⠂⠀ | ⠰⠠⠏⠂
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>1</mn><mtext>,</mtext></math> | ⠼⠁⠂⠀ | ⠼⠁⠂
✓ | <math><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow></math> | ⠋⠐⠖⠛ | ⠋⠐⠖⠛
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mn>4</mn><mi>a</mi><mo>+</mo><mn>5</mn><mi>b</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>4</mn><mi>a</mi><mo>−</mo><mn>5</mn><mi>b</mi><mo stretchy="false">)</mo></math> | ⠐⠣⠼⠙⠰⠁⠐⠖⠼⠑⠰⠃⠐⠜⠐⠣⠼⠙⠰⠁⠐⠤⠼⠑⠰⠃⠐⠜ | ⠐⠣⠼⠙⠰⠁⠐⠖⠼⠑⠰⠃⠐⠜⠐⠣⠼⠙⠰⠁⠐⠤⠼⠑⠰⠃⠐⠜
✗ | <math><mrow><mn>0</mn><mo>&lt;</mo><mi>a</mi><mo>&lt;</mo><mn>1</mn><mo>,</mo></mrow></math> | ⠼⠚⠀⠈⠣⠀⠁⠀⠈⠣⠀⠼⠁⠂⠀ | ⠼⠚⠀⠈⠣⠀⠁⠀⠈⠣⠀⠼⠁⠂
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>b</mi><mo>+</mo><mi>m</mi><mi>x</mi></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠃⠐⠖⠍⠭ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠃⠐⠖⠍⠭
