# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro 
#   API Key: GEMINI_API_KEY
#   Batch Size: 40
#   Number of Examples: 940
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/ueb.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 200 items. Usage info: prompt=551491, candidates=10304, total=674485, time=64968ms, TPS=6305.124223602485.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠬⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math>
✓ | ⠰⠗⠀⠘⠔⠀⠼⠚ | <math><mrow><mi>r</mi><mo>≈</mo><mn>0</mn></mrow></math> | <math><mi>r</mi><mo>≈</mo><mn>0</mn></math>
✓ | ⠏⠰⠐⠱ | <math><mover><mi>p</mi><mo>^</mo></mover></math> | <math><mover><mi>p</mi><mo>^</mo></mover></math>
✓ | ⠐⠤⠼⠁⠃⠑ | <math><mn>−125</mn></math> | <math><mo>−</mo><mn>125</mn></math>
✓ | ⠰⠠⠞⠂ | <math><mrow><mi>T</mi><mo>,</mo></mrow></math> | <math><mrow><mi>T</mi><mtext>,</mtext></mrow></math>
✓ | ⠰⠞⠀⠐⠶⠀⠼⠉⠂ | <math><mrow><mi>t</mi><mo>=</mo><mn>3</mn><mtext>,</mtext></mrow></math> | <math><mrow><mi>t</mi><mo>=</mo><mn>3</mn><mtext>,</mtext></mrow></math>
✓ | ⠠⠁⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠳⠭⠸⠳⠲ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow><mo>|</mo><mi>x</mi><mo>|</mo></mrow><mtext>.</mtext></mrow></math>
✓ | ⠰⠰⠞⠔⠣⠐⠤⠼⠉⠸⠌⠼⠃⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><msup><mi>t</mi><mrow><mo>−</mo><mn>3</mn><mrow><mo>/</mo></mrow><mn>2</mn></mrow></msup></mstyle></math> | <math><msup><mi>t</mi><mrow><mo>−</mo><mn>3</mn><mo>/</mo><mn>2</mn></mrow></msup></math>
✓ | ⠼⠙⠔⠼⠑⠐⠖⠼⠉⠔⠼⠃ | <math><mrow><msup><mn>4</mn><mn>5</mn></msup><mo>+</mo><msup><mn>3</mn><mn>2</mn></msup></mrow></math> | <math><msup><mn>4</mn><mn>5</mn></msup><mo>+</mo><msup><mn>3</mn><mn>2</mn></msup></math>
✓ | ⠞⠁⠝⠐⠣⠄⠸⠡⠭⠼⠚⠚⠚⠉⠰⠙⠼⠑⠄⠐⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>ϕ</mi><mo stretchy="false">)</mo></mstyle></math> | <math><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>ϕ</mi><mo stretchy="false">)</mo></math>
✗ | ⠠⠠⠑⠃⠍⠀⠐⠶⠀⠰⠰⠞⠢⠷⠨⠁⠨⠌⠼⠃⠾⠐⠣⠷⠎⠨⠌⠩⠝⠬⠾⠐⠜⠀⠐⠶⠀⠐⠣⠼⠃⠲⠚⠊⠉⠐⠜⠐⠣⠷⠼⠚⠲⠉⠨⠌⠩⠼⠃⠚⠬⠾⠐⠜⠀⠐⠶⠀⠼⠚⠲⠁⠙⠚ | <math><mrow><mi>E</mi><mi>B</mi><mi>M</mi><mo>=</mo><mtext> </mtext><msub><mi>t</mi><mfrac><mi>α</mi><mn>2</mn></mfrac></msub><mrow><mo>(</mo><mfrac><mi>s</mi><msqrt><mi>n</mi></msqrt></mfrac><mo>)</mo></mrow><mo>=</mo><mrow><mo>(</mo><mn>2.093</mn><mo>)</mo></mrow><mrow><mo>(</mo><mfrac><mn>0.3</mn><msqrt><mn>20</mn></msqrt></mfrac><mo>)</mo></mrow><mo>=</mo><mtext> </mtext><mn>0.140</mn></mrow></math> | <math><mtext>EBM</mtext><mo>=</mo><msub><mi>t</mi><mfrac><mi>α</mi><mn>2</mn></mfrac></msub><mrow><mo>(</mo><mfrac><mi>s</mi><msqrt><mi>n</mi></msqrt></mfrac><mo>)</mo></mrow><mo>=</mo><mrow><mo>(</mo><mn>2.093</mn><mo>)</mo></mrow><mrow><mo>(</mo><mfrac><mn>0.3</mn><msqrt><mn>20</mn></msqrt></mfrac><mo>)</mo></mrow><mo>=</mo><mn>0.140</mn></math>
✓ | ⠠⠞⠁⠭ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext>Tax</mtext></math> | <math><mtext>Tax</mtext></math>
✓ | ⠐⠣⠐⠤⠼⠃⠂⠀⠼⠑⠐⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo>,</mo><mn>5</mn><mo stretchy="false">)</mo></math> | <math><mrow><mo>(</mo><mo>−</mo><mn>2</mn><mo>,</mo><mn>5</mn><mo>)</mo></mrow></math>
✓ | ⠼⠉⠛⠲⠊ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>37.9</mn></math> | <math><mn>37.9</mn></math>
✓ | ⠟⠰⠐⠱ | <math><mover><mi>q</mi><mo>^</mo></mover></math> | <math><mover><mi>q</mi><mo>^</mo></mover></math>
✓ | ⠼⠁⠌⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mn>2</mn></mfrac></mstyle></math> | <math><mfrac><mn>1</mn><mn>2</mn></mfrac></math>
✓ | ⠼⠁⠃⠌⠁⠊ | <math><mfrac><mn>12</mn><mn>19</mn></mfrac></math> | <math><mfrac><mn>12</mn><mn>19</mn></mfrac></math>
✓ | ⠰⠃ | <math><mi>b</mi></math> | <math><mi>b</mi></math>
✓ | ⠼⠉⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>32</mn></math> | <math><mn>32</mn></math>
✓ | ⠵⠰⠔⠼⠁⠌⠓⠐⠲⠵⠔⠼⠛⠌⠓ | <math><mrow><msup><mi>z</mi><mfrac><mn>1</mn><mn>8</mn></mfrac></msup><mo>·</mo><msup><mi>z</mi><mfrac><mn>7</mn><mn>8</mn></mfrac></msup></mrow></math> | <math><msup><mi>z</mi><mfrac><mn>1</mn><mn>8</mn></mfrac></msup><mo>·</mo><msup><mi>z</mi><mfrac><mn>7</mn><mn>8</mn></mfrac></msup></math>
✓ | ⠝⠰⠢⠼⠁⠐⠖⠝⠢⠼⠃⠐⠤⠼⠃ | <math><mrow><msub><mi>n</mi><mn>1</mn></msub><mo>+</mo><msub><mi>n</mi><mn>2</mn></msub><mo>−</mo><mn>2</mn></mrow></math> | <math><msub><mi>n</mi><mn>1</mn></msub><mo>+</mo><msub><mi>n</mi><mn>2</mn></msub><mo>−</mo><mn>2</mn></math>
✓ | ⠼⠙⠑⠨⠴ | <math><mrow><mn>45</mn><mi mathvariant="normal">%</mi></mrow></math> | <math><mn>45</mn><mi mathvariant="normal">%</mi></math>
✗ | ⠰⠰⠰⠷⠠⠏⠁⠗⠞⠽⠀⠠⠁⠀⠠⠎⠥⠗⠏⠇⠥⠎⠀⠠⠧⠕⠞⠑⠎⠀⠐⠤⠀⠠⠏⠁⠗⠞⠽⠀⠠⠃⠀⠠⠎⠥⠗⠏⠇⠥⠎⠀⠠⠧⠕⠞⠑⠎⠨⠌⠠⠞⠕⠞⠁⠇⠀⠠⠧⠕⠞⠑⠎⠾⠀⠐⠶⠀⠷⠼⠊⠐⠤⠼⠋⠨⠌⠼⠉⠑⠾⠀⠐⠶⠀⠼⠉⠌⠉⠑⠀⠘⠔⠀⠼⠚⠲⠚⠓⠑⠛⠰⠄ | <math><mrow><mfrac><mrow><mtext>Party A Surplus Votes </mtext><mo>−</mo><mtext> Party B Surplus Votes</mtext></mrow><mtext>Total Votes</mtext></mfrac><mo>=</mo><mfrac><mrow><mn>9</mn><mo>−</mo><mn>6</mn></mrow><mn>35</mn></mfrac><mo>=</mo><mfrac><mn>3</mn><mn>35</mn></mfrac><mo>≈</mo><mn>0.0857</mn></mrow></math> | <math><mfrac><mrow><mtext>Party A Surplus Votes</mtext><mo>−</mo><mtext>Party B Surplus Votes</mtext></mrow><mtext>Total Votes</mtext></mfrac><mo>=</mo><mfrac><mrow><mn>9</mn><mo>−</mo><mn>6</mn></mrow><mn>35</mn></mfrac><mo>=</mo><mfrac><mn>3</mn><mn>35</mn></mfrac><mo>≈</mo><mn>0.0857</mn></math>
✓ | ⠰⠽⠀⠐⠶⠀⠼⠋⠌⠃ | <math><mrow><mi>y</mi><mo>=</mo><mfrac><mn>6</mn><mn>2</mn></mfrac></mrow></math> | <math><mi>y</mi><mo>=</mo><mfrac><mn>6</mn><mn>2</mn></mfrac></math>
✗ | ⠼⠑⠚⠌⠁⠚⠂⠚⠚⠚ | <math><mfrac><mtext>50</mtext><mtext>10,000</mtext></mfrac></math> | <math><mfrac><mn>50</mn><mn>10,000</mn></mfrac></math>
✓ | ⠰⠰⠰⠨⠎⠢⠣⠨⠯⠔⠼⠃⠜⠀⠐⠶⠀⠩⠼⠃⠐⠣⠙⠋⠐⠜⠬⠰⠄ | <math><mrow><msub><mi>σ</mi><msup><mi>χ</mi><mn>2</mn></msup></msub><mtext>=</mtext><msqrt><mrow><mn>2</mn><mrow><mo>(</mo><mrow><mi>d</mi><mi>f</mi></mrow><mo>)</mo></mrow></mrow></msqrt></mrow></math> | <math><msub><mi>σ</mi><msup><mi>χ</mi><mn>2</mn></msup></msub><mo>=</mo><msqrt><mn>2</mn><mo stretchy="false">(</mo><mi>d</mi><mi>f</mi><mo stretchy="false">)</mo></msqrt></math>
✓ | ⠨⠎⠀⠐⠶⠀⠰⠰⠩⠷⠐⠣⠃⠐⠤⠁⠐⠜⠔⠼⠃⠨⠌⠼⠁⠃⠾⠬ | <math><mrow><mi>σ</mi><mo>=</mo><msqrt><mfrac><msup><mrow><mo>(</mo><mrow><mi>b</mi><mo>−</mo><mi>a</mi></mrow><mo>)</mo></mrow><mn>2</mn></msup><mn>12</mn></mfrac></msqrt></mrow></math> | <math><mi>σ</mi><mo>=</mo><msqrt><mfrac><msup><mrow><mo>(</mo><mi>b</mi><mo>−</mo><mi>a</mi><mo>)</mo></mrow><mn>2</mn></msup><mn>12</mn></mfrac></msqrt></math>
✓ | ⠼⠉⠐⠣⠼⠑⠵⠐⠜⠔⠼⠁⠌⠙ | <math><mrow><mn>3</mn><msup><mrow><mo>(</mo><mrow><mn>5</mn><mi>z</mi></mrow><mo>)</mo></mrow><mfrac><mn>1</mn><mn>4</mn></mfrac></msup></mrow></math> | <math><mn>3</mn><msup><mrow><mo>(</mo><mn>5</mn><mi>z</mi><mo>)</mo></mrow><mfrac><mn>1</mn><mn>4</mn></mfrac></msup></math>
✓ | ⠼⠑⠙ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>54</mn></math> | <math><mn>54</mn></math>
✓ | ⠼⠁⠸⠌⠼⠋ | <math><mrow><mn>1</mn><mo>/</mo><mn>6</mn></mrow></math> | <math><mn>1</mn><mo>/</mo><mn>6</mn></math>
✓ | ⠨⠁ | <math><mi>α</mi></math> | <math><mi>&#x3B1;</mi></math>
✓ | ⠭⠰⠔⠼⠃⠐⠖⠼⠓⠭⠐⠖⠼⠁⠋ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>8</mn><mi>x</mi><mo>+</mo><mn>16</mn></mstyle></math> | <math><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>8</mn><mi>x</mi><mo>+</mo><mn>16</mn></math>
✓ | ⠼⠋⠌⠑⠚ | <math><mfrac><mn>6</mn><mn>50</mn></mfrac></math> | <math><mfrac><mn>6</mn><mn>50</mn></mfrac></math>
✓ | ⠽⠰⠱ | <math><mover accent="true"><mi>y</mi><mo>¯</mo></mover></math> | <math><mover><mi>y</mi><mo stretchy="true">¯</mo></mover></math>
✓ | ⠼⠁⠐⠤⠷⠎⠊⠝⠐⠣⠭⠐⠜⠨⠌⠉⠎⠉⠐⠣⠭⠐⠜⠾ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>1</mn><mo>−</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mfrac></mstyle></math> | <math><mn>1</mn><mo>-</mo><mfrac><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mfrac></math>
✓ | ⠰⠷⠼⠁⠨⠌⠩⠔⠼⠋⠰⠁⠔⠼⠉⠬⠾ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mroot><msup><mi>a</mi><mn>3</mn></msup><mn>6</mn></mroot></mfrac></mstyle></mstyle></math> | <math><mfrac><mn>1</mn><mroot><msup><mi>a</mi><mn>3</mn></msup><mn>6</mn></mroot></mfrac></math>
✓ | ⠐⠣⠼⠙⠲⠑⠊⠂⠐⠷⠼⠚⠲⠁⠚⠨⠌⠩⠼⠁⠋⠬⠾⠐⠜ | <math><mrow><mo>(</mo><mrow><mtext>4</mtext><mtext>.59, </mtext><mfrac><mn>0.10</mn><msqrt><mn>16</mn></msqrt></mfrac></mrow><mo>)</mo></mrow></math> | <math><mrow><mo>(</mo><mrow><mtext>4</mtext><mtext>.59, </mtext><mfrac><mn>0.10</mn><msqrt><mn>16</mn></msqrt></mfrac></mrow><mo>)</mo></mrow></math>
✓ | ⠼⠉⠔⠼⠃⠌⠉⠐⠲⠼⠉⠔⠼⠙⠌⠉ | <math><mrow><msup><mn>3</mn><mfrac><mn>2</mn><mn>3</mn></mfrac></msup><mo>·</mo><msup><mn>3</mn><mfrac><mn>4</mn><mn>3</mn></mfrac></msup></mrow></math> | <math><mrow><msup><mn>3</mn><mfrac><mn>2</mn><mn>3</mn></mfrac></msup><mo>·</mo><msup><mn>3</mn><mfrac><mn>4</mn><mn>3</mn></mfrac></msup></mrow></math>
✓ | ⠰⠰⠷⠵⠔⠼⠃⠌⠉⠨⠌⠵⠔⠼⠑⠌⠉⠾ | <math><mfrac><msup><mi>z</mi><mfrac><mn>2</mn><mn>3</mn></mfrac></msup><msup><mi>z</mi><mfrac><mn>5</mn><mn>3</mn></mfrac></msup></mfrac></math> | <math><mfrac><msup><mi>z</mi><mfrac><mn>2</mn><mn>3</mn></mfrac></msup><msup><mi>z</mi><mfrac><mn>5</mn><mn>3</mn></mfrac></msup></mfrac></math>
✗ | ⠰⠰⠰⠐⠣⠺⠔⠼⠑⠐⠜⠔⠼⠃⠀⠐⠶⠀⠺⠔⠼⠑⠐⠲⠺⠔⠼⠑⠀⠐⠶⠀⠺⠔⠼⠁⠚⠰⠄ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mo stretchy="false">(</mo><msup><mi>w</mi><mn>5</mn></msup><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>=</mo><msup><mi>w</mi><mn>5</mn></msup><mo>⋅</mo><msup><mi>w</mi><mn>5</mn></msup><mo>=</mo><msup><mi>w</mi><mrow data-mjx-texclass="ORD"><mn>10</mn></mrow></msup></mstyle></math> | <math><mrow><msup><mrow><mo>(</mo><msup><mi>w</mi><mn>5</mn></msup><mo>)</mo></mrow><mn>2</mn></msup><mo>=</mo><msup><mi>w</mi><mn>5</mn></msup><mo>⋅</mo><msup><mi>w</mi><mn>5</mn></msup><mo>=</mo><msup><mi>w</mi><mn>10</mn></msup><mtext>.</mtext></mrow></math>
✓ | ⠰⠰⠩⠭⠬ | <math><msqrt><mi>x</mi></msqrt></math> | <math><msqrt><mi>x</mi></msqrt></math>
✓ | ⠐⠣⠋⠐⠤⠛⠐⠜⠐⠣⠐⠤⠼⠙⠐⠜⠀⠐⠶ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>−</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>4</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>−</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>4</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math>
✓ | ⠰⠽⠀⠐⠶⠀⠍⠭⠐⠖⠃⠲ | <math><mrow><mi>y</mi><mo>=</mo><mi>m</mi><mi>x</mi><mo>+</mo><mi>b</mi><mo>.</mo></mrow></math> | <math><mrow><mi>y</mi><mo>=</mo><mi>m</mi><mi>x</mi><mo>+</mo><mi>b</mi><mtext>.</mtext></mrow></math>
✓ | ⠨⠁ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>α</mi></math> | <math><mi>&#x3B1;</mi></math>
✓ | ⠁⠰⠢⠼⠙⠀⠐⠶⠀⠼⠁⠙ | <math><mrow><msub><mi>a</mi><mn>4</mn></msub><mo>=</mo><mn>14</mn></mrow></math> | <math><mrow><msub><mi>a</mi><mn>4</mn></msub><mo>=</mo><mn>14</mn></mrow></math>
✓ | ⠼⠉⠋⠸⠌⠼⠃⠁⠋⠀⠐⠶⠀⠼⠚⠲⠁⠋⠛ | <math><mrow><mn>36</mn><mo>/</mo><mn>216</mn><mo>=</mo><mn>0.167</mn></mrow></math> | <math><mrow><mn>36</mn><mo>/</mo><mn>216</mn><mo>=</mo><mn>0.167</mn></mrow></math>
✓ | ⠁⠰⠢⠼⠑⠀⠐⠶⠀⠼⠁⠛ | <math><mrow><msub><mi>a</mi><mn>5</mn></msub><mo>=</mo><mn>17</mn></mrow></math> | <math><mrow><msub><mi>a</mi><mn>5</mn></msub><mo>=</mo><mn>17</mn></mrow></math>
✓ | ⠐⠤⠼⠓ | <math><mrow><mo>−</mo><mn>8</mn></mrow></math> | <math><mrow><mo>−</mo><mn>8</mn></mrow></math>
✓ | ⠠⠁⠰⠢⠼⠚ | <math><msub><mi>A</mi><mn>0</mn></msub></math> | <math><msub><mi>A</mi><mn>0</mn></msub></math>
✓ | ⠼⠉⠔⠼⠙ | <math><msup><mn>3</mn><mn>4</mn></msup></math> | <math><msup><mn>3</mn><mn>4</mn></msup></math>
✓ | ⠼⠉⠲ | <math><mn>3.</mn></math> | <math><mrow><mn>3.</mn></mrow></math>
✓ | ⠃⠐⠦⠭ | <math><mrow><mi>b</mi><mo>×</mo><mi>x</mi></mrow></math> | <math><mrow><mi>b</mi><mo>×</mo><mi>x</mi></mrow></math>
✓ | ⠰⠽⠀⠐⠶⠀⠼⠉⠭⠐⠤⠼⠙ | <math><mrow><mi>y</mi><mo>=</mo><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn></mrow></math> | <math><mrow><mi>y</mi><mo>=</mo><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn></mrow></math>
✓ | ⠁ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>a</mi></math> | <math><mi>a</mi></math>
✗ | ⠼⠋⠑⠨⠴ | <math><mtext>65%</mtext></math> | <math><mrow><mn>65</mn><mi mathvariant="normal">%</mi></mrow></math>
✗ | ⠰⠅⠂ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>k</mi><mtext>,</mtext></math> | <math><mrow><mi>K</mi><mo>,</mo></mrow></math>
✗ | ⠰⠛⠂ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>g</mi><mtext>,</mtext></math> | <math><mrow><mi>G</mi><mo>,</mo></mrow></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠰⠑⠔⠣⠐⠤⠭⠔⠼⠃⠜⠂ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></msup><mtext>,</mtext></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>e</mi><mrow><mo>−</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></msup><mo>,</mo></mrow></math>
✓ | ⠋⠐⠖⠛ | <math><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow></math> | <math><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow></math>
